,A,C,D,M,N,O,P,R,V,W,END
START,0.03798731907499492,0.14189326580032163,0.24041998632086806,0.0005360740891361813,0.23692626208477366,0.13300183004602842,0.07689890382091429,0.04798787363439747,0.021387507625191784,0.06296097750337357,0.0
A,0.07541722413914513,0.08893739877473418,0.00332370959791564,0.00046475600309837337,0.7029223294134216,0.08398000140835152,0.0013097669178226885,0.03077248081121048,0.009379621153439899,0.0009717625519329625,0.0025209492289275403
C,0.1045177973836325,0.028970185579555826,0.28688013386066324,0.002167630057803468,0.32448281107392757,0.09702616367508367,0.06376635229692729,0.026627623973227866,0.05739275935503499,0.007575296623060541,0.0005932461210830545
D,0.23110286416829834,0.010097445471517691,0.004815354492054096,0.0020604708346614454,0.6603069077000137,0.042825918674013023,0.0011383816766085332,0.014867264696507445,0.027787896726014297,2.2767633532170667e-05,0.00497472792677929
M,0.0005735041101127892,0.0028675205505639457,0.004110112789141656,0.00019116803670426305,0.001816096348690499,0.011565666220607914,0.005352705027719365,0.17338940929076657,0.7996558975339323,0.0,0.0004779200917606576
N,0.011204080835946751,0.22178484521191458,0.0005628066157429697,0.017756060744075892,0.25967181542545575,0.25288885707965175,0.030655067862115633,0.04908454461462386,0.13338842114851587,0.0019942222858406965,0.02100927817611618
O,0.03175624412005706,0.09860095293010834,0.05647780037024673,0.005486935146126066,0.17984279688021607,0.18483202330733514,0.03108251646384025,0.03668477436193135,0.07888076234408667,0.021237595217140602,0.27511759885891174
P,0.1277406270554703,0.02472045604034203,5.4812541109405835e-05,0.06248629686472265,0.3346031572023679,0.05431922823942118,0.0001644376233282175,0.04086274939706205,0.34049550537162904,0.00065775049331287,0.013894979171234379
R,0.09287274758126776,0.09004747121339049,0.08037254225595032,0.005946221192857964,0.05634126710359894,0.17662905106851295,0.014783422855171735,0.06933425319075544,0.40881092002168234,0.0038108378915553804,0.0010512656252566566
V,0.07703477492851904,0.16353797098845826,0.16055897366805885,0.0007559767069355249,0.13488570530381283,0.10397299441625125,0.057536563823894854,0.16576099160192212,0.1295714136015928,0.005067289411835152,0.0013173455487193305
W,0.027626050420168066,0.011659663865546219,0.062289915966386555,0.08686974789915966,0.0907563025210084,0.015126050420168067,0.05861344537815126,0.05115546218487395,0.5047268907563025,0.0002100840336134454,0.09096638655462184
